Count,Name
91,UNIT_HEAL_ABSORB_AMOUNT_CHANGED
90,CHAT_MSG_SKILL
90,MAIL_INBOX_UPDATE
90,PARTY_INVITE_REQUEST
90,QUEST_REMOVED
89,TAXIMAP_OPENED
89,UNIT_CLASSIFICATION_CHANGED
88,CHAT_MSG_CHANNEL_NOTICE
88,CHAT_MSG_RAID_WARNING
87,UNIT_POWER_BAR_HIDE
86,PLAYER_CONTROL_LOST
86,SPELL_UPDATE_USABLE
85,UPDATE_BATTLEFIELD_SCORE
84,PLAYER_STOPPED_MOVING
83,UI_INFO_MESSAGE
82,CURSOR_UPDATE
81,TRADE_CLOSED
80,SPELL_UPDATE_CHARGES
78,PARTY_MEMBER_DISABLE
77,ACTIONBAR_SHOWGRID
77,COMPANION_UPDATE
77,QUEST_FINISHED
76,CINEMATIC_START
75,CHAT_MSG_COMBAT_FACTION_CHANGE
73,UPDATE_SHAPESHIFT_FORMS
70,ACTIONBAR_UPDATE_USABLE
70,PET_BAR_UPDATE
70,PLAYER_LEVEL_CHANGED
70,RESURRECT_REQUEST
69,ARTIFACT_UPDATE
69,QUEST_WATCH_LIST_CHANGED
68,ACTIONBAR_UPDATE_STATE
68,SPELL_ACTIVATION_OVERLAY_GLOW_SHOW
67,HONOR_LEVEL_UPDATE
67,PLAYERREAGENTBANKSLOTS_CHANGED
67,SPELL_ACTIVATION_OVERLAY_GLOW_HIDE
66,EQUIPMENT_SETS_CHANGED
66,GROUP_LEFT
66,PET_JOURNAL_LIST_UPDATE
65,ARTIFACT_XP_UPDATE
65,BOSS_KILL
65,LOOT_SLOT_CLEARED
65,PORTRAITS_UPDATED
63,CHAT_MSG_INSTANCE_CHAT
62,ACTIONBAR_PAGE_CHANGED
62,UPDATE_BONUS_ACTIONBAR
61,ADDON_ACTION_FORBIDDEN
60,CHAT_MSG_MONSTER_EMOTE
60,PET_BATTLE_OVER
60,QUEST_ACCEPT_CONFIRM
60,TRADE_SKILL_LIST_UPDATE
59,DUEL_REQUESTED
58,CURRENT_SPELL_CAST_CHANGED
58,START_LOOT_ROLL
58,STOP_AUTOREPEAT_SPELL
58,UPDATE_OVERRIDE_ACTIONBAR
57,INCOMING_SUMMON_CHANGED
57,PLAYERBANKBAGSLOTS_CHANGED
57,QUEST_WATCH_UPDATE
57,START_AUTOREPEAT_SPELL
56,GUILDBANKBAGSLOTS_CHANGED
55,COMBAT_TEXT_UPDATE
55,LOSS_OF_CONTROL_UPDATE
55,NAME_PLATE_CREATED
54,AZERITE_ITEM_EXPERIENCE_CHANGED
54,CHAT_MSG_COMBAT_XP_GAIN
54,CHAT_MSG_EMOTE
54,CINEMATIC_STOP
54,UNIT_SPELLCAST_FAILED_QUIET
54,UPDATE_CHAT_WINDOWS
54,UPDATE_PENDING_MAIL
53,BN_FRIEND_ACCOUNT_ONLINE
53,LOSS_OF_CONTROL_ADDED
52,GUILD_MOTD
51,CHAT_MSG_MONSTER_SAY
51,QUEST_AUTOCOMPLETE
51,TRADE_MONEY_CHANGED
